"SID","station_group"
1380,"East Norway"
1370,"East Norway"
1606,"East Norway"
1525,"East Norway"
1362,"East Norway"
1607,"East Norway"
1360,"East Norway"
1361,"East Norway"
1233,"East Norway"
1238,"East Norway"
1495,"East Norway"
1494,"East Norway"
1460,"East Norway"
1463,"East Norway"
1487,"East Norway"
1489,"East Norway"
1492,"East Norway"
1526,"East Norway"
1490,"East Norway"
1486,"East Norway"
1469,"East Norway"
1374,"East Norway"
1369,"East Norway"
1368,"East Norway"
1367,"East Norway"
1371,"East Norway"
1365,"East Norway"
1373,"East Norway"
1358,"East Norway"
1357,"East Norway"
1608,"East Norway"
1359,"East Norway"
1480,"East Norway"
1485,"East Norway"
1477,"East Norway"
1481,"East Norway"
1482,"East Norway"
1473,"East Norway"
1471,"East Norway"
1363,"East Norway"
1478,"East Norway"
1462,"East Norway"
1475,"East Norway"
1479,"East Norway"
1450,"East Norway"
1461,"East Norway"
1470,"East Norway"
1447,"East Norway"
1434,"East Norway"
1476,"East Norway"
1449,"East Norway"
1467,"East Norway"
1465,"East Norway"
1459,"East Norway"
1610,"East Norway"
1455,"East Norway"
1464,"East Norway"
1453,"East Norway"
1452,"East Norway"
1448,"East Norway"
1442,"East Norway"
1444,"East Norway"
1440,"East Norway"
1441,"East Norway"
1430,"East Norway"
1439,"East Norway"
1436,"East Norway"
1427,"East Norway"
1431,"East Norway"
1002,"Norway"
1003,"Norway"
1004,"Norway"
1006,"Norway"
1007,"Norway"
1008,"Norway"
1009,"Norway"
1010,"Norway"
1023,"Norway"
1025,"Norway"
1026,"Norway"
1028,"Norway"
1033,"Norway"
1036,"Norway"
1037,"Norway"
1046,"Norway"
1047,"Norway"
1049,"Norway"
1052,"Norway"
1055,"Norway"
1058,"Norway"
1059,"Norway"
1062,"Norway"
1065,"Norway"
1068,"Norway"
1074,"Norway"
1075,"Norway"
1078,"Norway"
1083,"Norway"
1088,"Norway"
1089,"Norway"
1098,"Norway"
1102,"Norway"
1106,"Norway"
1108,"Norway"
1112,"Norway"
1113,"Norway"
1115,"Norway"
1116,"Norway"
1122,"Norway"
1134,"Norway"
1141,"Norway"
1149,"Norway"
1151,"Norway"
1152,"Norway"
1156,"Norway"
1161,"Norway"
1162,"Norway"
1167,"Norway"
1180,"Norway"
1183,"Norway"
1193,"Norway"
1205,"Norway"
1207,"Norway"
1209,"Norway"
1210,"Norway"
1212,"Norway"
1217,"Norway"
1218,"Norway"
1223,"Norway"
1225,"Norway"
1227,"Norway"
1228,"Norway"
1238,"Norway"
1240,"Norway"
1241,"Norway"
1245,"Norway"
1252,"Norway"
1257,"Norway"
1259,"Norway"
1265,"Norway"
1271,"Norway"
1274,"Norway"
1278,"Norway"
1280,"Norway"
1288,"Norway"
1290,"Norway"
1292,"Norway"
1293,"Norway"
1295,"Norway"
1300,"Norway"
1304,"Norway"
1307,"Norway"
